Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
Teen Torch Program,Worcester,100000,DCF - Department Of Children And Families,emily.hajjar@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for the Teen Torch program at Yes We Care"
Templeton Fire Department,Templeton,70000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992058,"provided further, that not less than $70,000 shall be expended for a utility truck for the fire department in the town of Templeton"
Temporary Housing and Relocation Amenities at Bunker Hill Housing Development,Boston,250000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $250,000 shall be expended for temporary housing and relocation amenities including, but not limited to, a laundromat, playgrounds and community spaces at the Boston housing authority, Bunker Hill housing development in the Charlestown section of Boston"
Tenean Street Rail and Beach Flooding Study,Boston,250000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $250,000 shall be expended for a study relative to a natural resilience barrier to protect high tide and storm surge flooding at Tenean street along the Massachusetts Bay Transportation Authority red line, commuter rail tracks and Tenean beach in the Dorchester section of the city of Boston"
Tewksbury Sidewalks and Storm-Water Infrastructure,Tewksbury,100000,EEA - Executive Office Of Environmental Affairs,serafina.t.zeringo@mass.gov,20000015,"provided further, that not less than $100,000 shall be appropriated to the town of Tewksbury for the design, engineering and construction of sidewalks and pedestrian crossings and associated storm-water infrastructure"
The Base in Boston,Boston,25000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $25,000 shall be expended to The Base, Inc. to provide athletic and academic programming for students in the city of Boston disproportionately impacted by the 2019 novel coronavirus"
The Black Springfield COVID-19 Coalition,Springfield,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $150,000 shall be expended to the Black Springfield Covid-19 Coalition"
"The Charity Guild, Inc.",Brockton,100000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $100,000 shall be expended for The Charity Guild, Inc. in the city of Brockton"
The Food Drive in Melrose,Melrose,60000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $60,000 shall be expended to The Food Drive in the city of Melrose for the purchase of equipment to facilitate food rescue, collection and distribution"
The Kennedy Center in Boston,Boston,100000,DCF - Department Of Children And Families,emily.hajjar@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended to The John F. Kennedy Family Service Center, Inc. in the Charlestown section of the city of Boston"
The Neighborhood Developers in Chelsea,Chelsea,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70022023,"provided further, that not less than $50,000 shall be expended to The Neighborhood Developers, Inc. in the city of Chelsea"
The Open Door in Gloucester,Gloucester,150000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that $150,000 shall be expended for The Open Door in Gloucester"
The Paul Revere Museum of Discovery and Innovation,Canton,200000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $200,000 shall be expended for The Paul Revere Museum of Discovery and Innovation in Canton"
The People's Academy,Boston,100000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,70030102,"provided further, that not less than $100,000 shall be expended to The People’s Academy, Inc."
The Possible Project,Boston,200000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,70100013,"provided further, that not less than $200,000 shall be expended for The Possible Project to support children at risk through job training, entrepreneurship programs and community supports"
The Taunton District Center for the Arts,Taunton,56000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $56,000 shall be expended for the District Center for the Arts, Inc. in Taunton"
The Welcome Project,Somerville,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Welcome Project in the city of Somerville"
Thermal Transition Study,Springfield,150000,ENE - Department Of Energy Resources,Marcelle.T.Payen@mass.gov,20000103,"provided further, that not less than $150,000 shall be expended for Michael Jay Walsh LLC to support the research and development of a study on a thermal heating transition for the commonwealth"
Thomas Crane Public Library in Quincy,Quincy,600000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $600,000 shall be made available for the city of Quincy for capital improvements including, but not limited to, roofing for the Thomas Crane Public Library"
Tilden House Preservation in Canton,Canton,75000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $75,000 shall be expended for the preservation of the Tilden House in Canton"
"Top Notch Scholars, Inc.",Methuen,60000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $60,000 shall be expended to Top Notch Scholars Inc., in partnership with Methuen Public Schools, the city of Methuen and the Methuen Youth and Community Center, for the expansion of services in the city of Methuen, including the hiring of staff, youth development, programming and leadership development"
Topsfield Downtown Wayfinding Signage,Topsfield,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $100,000 shall be expended to the town of Topsfield for downtown wayfinding signage"
Tourism and Cultural enhancements at Lynn Auditorium,Lynn,100000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for tourism and cultural enhancements at the Lynn Memorial Auditorium"
Town Line Brook Floodgate Repair,Malden & Revere,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for repairs for the Town Line brook floodgate between the cities of Malden and Revere"
Town of Barre Broadband Services,Barre,20000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $20,000 shall be expended to the town of Barre to facilitate access to broadband services"
Town of Danvers Strategic Plan,Danvers,150000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $150,000 shall be expended to the town of Danvers for the completion of a strategic plan"
Town of Hanson Small Business Assistance,Hanson,35000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $35,000 shall be expended to the town of Hanson for small business assistance"
Town of Natick Human Services Study,Natick,150000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $150,000 shall be expended for the town of Natick to conduct a study on improving the integration and accessibility of human services in the town"
